destination;passanger;weather;temperature;time;coupon;expiration;gender;age;maritalStatus;has_children;education;occupation;income;car;Bar;CoffeeHouse;CarryAway;RestaurantLessThan20;Restaurant20To50;toCoupon_GEQ5min;toCoupon_GEQ15min;toCoupon_GEQ25min;direction_same;direction_opp;Y
No_Urgent_Place;Alone;Sunny;55;2PM;Restaurantless_20;1d;Female;21;Unmarried_partner;0;Bachelors_degree;Management;87500_99999;;1_3;1_3;1_3;1_3;1_3;1;0;0;0;1;1
No_Urgent_Place;Friend_s;Sunny;80;10AM;Coffee_House;2h;Female;21;Unmarried_partner;0;Bachelors_degree;Management;87500_99999;;1_3;1_3;1_3;1_3;1_3;1;0;0;0;1;1
No_Urgent_Place;Friend_s;Sunny;80;10AM;Carry_out_and_Take_away;2h;Female;21;Unmarried_partner;0;Bachelors_degree;Management;87500_99999;;1_3;1_3;1_3;1_3;1_3;1;1;0;0;1;1
No_Urgent_Place;Friend_s;Sunny;80;2PM;Coffee_House;2h;Female;21;Unmarried_partner;0;Bachelors_degree;Management;87500_99999;;1_3;1_3;1_3;1_3;1_3;1;1;0;0;1;1
No_Urgent_Place;Friend_s;Sunny;80;2PM;Coffee_House;1d;Female;21;Unmarried_partner;0;Bachelors_degree;Management;87500_99999;;1_3;1_3;1_3;1_3;1_3;1;1;0;0;1;1
No_Urgent_Place;Friend_s;Sunny;80;6PM;Restaurantless_20;2h;Female;21;Unmarried_partner;0;Bachelors_degree;Management;87500_99999;;1_3;1_3;1_3;1_3;1_3;1;1;0;0;1;1
No_Urgent_Place;Friend_s;Sunny;55;2PM;Carry_out_and_Take_away;1d;Female;21;Unmarried_partner;0;Bachelors_degree;Management;87500_99999;;1_3;1_3;1_3;1_3;1_3;1;1;0;0;1;1
No_Urgent_Place;Partner;Sunny;80;10AM;Coffee_House;2h;Female;21;Unmarried_partner;0;Bachelors_degree;Management;87500_99999;;1_3;1_3;1_3;1_3;1_3;1;0;0;0;1;1
No_Urgent_Place;Partner;Sunny;80;10AM;Restaurant_20_50;1d;Female;21;Unmarried_partner;0;Bachelors_degree;Management;87500_99999;;1_3;1_3;1_3;1_3;1_3;1;0;0;0;1;1
No_Urgent_Place;Partner;Sunny;80;10AM;Bar;2h;Female;21;Unmarried_partner;0;Bachelors_degree;Management;87500_99999;;1_3;1_3;1_3;1_3;1_3;1;0;0;0;1;0
No_Urgent_Place;Partner;Sunny;80;10AM;Coffee_House;2h;Female;21;Unmarried_partner;0;Bachelors_degree;Management;87500_99999;;1_3;1_3;1_3;1_3;1_3;1;1;0;0;1;1
No_Urgent_Place;Partner;Sunny;80;6PM;Restaurantless_20;2h;Female;21;Unmarried_partner;0;Bachelors_degree;Management;87500_99999;;1_3;1_3;1_3;1_3;1_3;1;0;0;0;1;1
No_Urgent_Place;Partner;Sunny;80;6PM;Bar;1d;Female;21;Unmarried_partner;0;Bachelors_degree;Management;87500_99999;;1_3;1_3;1_3;1_3;1_3;1;1;0;0;1;1
Home;Alone;Sunny;55;6PM;Bar;1d;Female;21;Unmarried_partner;0;Bachelors_degree;Management;87500_99999;;1_3;1_3;1_3;1_3;1_3;1;0;0;1;0;1
Home;Alone;Sunny;55;6PM;Restaurant_20_50;1d;Female;21;Unmarried_partner;0;Bachelors_degree;Management;87500_99999;;1_3;1_3;1_3;1_3;1_3;1;1;0;0;1;1
Home;Alone;Sunny;80;6PM;Coffee_House;2h;Female;21;Unmarried_partner;0;Bachelors_degree;Management;87500_99999;;1_3;1_3;1_3;1_3;1_3;1;0;0;0;1;0
Work;Alone;Sunny;55;7AM;Coffee_House;2h;Female;21;Unmarried_partner;0;Bachelors_degree;Management;87500_99999;;1_3;1_3;1_3;1_3;1_3;1;1;1;0;1;1
Work;Alone;Sunny;55;7AM;Bar;1d;Female;21;Unmarried_partner;0;Bachelors_degree;Management;87500_99999;;1_3;1_3;1_3;1_3;1_3;1;1;1;0;1;1
Work;Alone;Sunny;80;7AM;Restaurant_20_50;1d;Female;21;Unmarried_partner;0;Bachelors_degree;Management;87500_99999;;1_3;1_3;1_3;1_3;1_3;1;1;0;0;1;0
Work;Alone;Sunny;80;7AM;Carry_out_and_Take_away;2h;Female;21;Unmarried_partner;0;Bachelors_degree;Management;87500_99999;;1_3;1_3;1_3;1_3;1_3;1;0;0;1;0;0
Work;Alone;Sunny;55;7AM;Restaurantless_20;1d;Female;21;Unmarried_partner;0;Bachelors_degree;Management;87500_99999;;1_3;1_3;1_3;1_3;1_3;1;0;0;0;1;0
Work;Alone;Sunny;55;7AM;Coffee_House;2h;Female;21;Unmarried_partner;0;Bachelors_degree;Management;87500_99999;;1_3;1_3;1_3;1_3;1_3;1;1;0;0;1;0
No_Urgent_Place;Alone;Sunny;80;10AM;Bar;1d;Female;26;Unmarried_partner;0;Bachelors_degree;EducationandTrainingandLibrary;50000_62499;;1_3;1_3;1_3;1_3;1_3;1;0;0;0;1;1
No_Urgent_Place;Friend_s;Sunny;80;10AM;Coffee_House;2h;Female;26;Unmarried_partner;0;Bachelors_degree;EducationandTrainingandLibrary;50000_62499;;1_3;1_3;1_3;1_3;1_3;1;1;0;0;1;0
No_Urgent_Place;Friend_s;Sunny;80;2PM;Restaurantless_20;2h;Female;26;Unmarried_partner;0;Bachelors_degree;EducationandTrainingandLibrary;50000_62499;;1_3;1_3;1_3;1_3;1_3;1;1;0;0;1;1
No_Urgent_Place;Friend_s;Sunny;80;6PM;Restaurantless_20;1d;Female;26;Unmarried_partner;0;Bachelors_degree;EducationandTrainingandLibrary;50000_62499;;1_3;1_3;1_3;1_3;1_3;1;1;0;0;1;1
No_Urgent_Place;Friend_s;Sunny;55;2PM;Coffee_House;1d;Female;26;Unmarried_partner;0;Bachelors_degree;EducationandTrainingandLibrary;50000_62499;;1_3;1_3;1_3;1_3;1_3;1;0;0;0;1;1
No_Urgent_Place;Partner;Sunny;80;10AM;Coffee_House;1d;Female;26;Unmarried_partner;0;Bachelors_degree;EducationandTrainingandLibrary;50000_62499;;1_3;1_3;1_3;1_3;1_3;1;0;0;0;1;1
No_Urgent_Place;Partner;Sunny;80;10AM;Restaurant_20_50;2h;Female;26;Unmarried_partner;0;Bachelors_degree;EducationandTrainingandLibrary;50000_62499;;1_3;1_3;1_3;1_3;1_3;1;0;0;0;1;1
No_Urgent_Place;Partner;Sunny;80;10AM;Coffee_House;1d;Female;26;Unmarried_partner;0;Bachelors_degree;EducationandTrainingandLibrary;50000_62499;;1_3;1_3;1_3;1_3;1_3;1;1;0;0;1;1
No_Urgent_Place;Partner;Sunny;80;2PM;Coffee_House;2h;Female;26;Unmarried_partner;0;Bachelors_degree;EducationandTrainingandLibrary;50000_62499;;1_3;1_3;1_3;1_3;1_3;1;0;0;0;1;0
No_Urgent_Place;Partner;Sunny;80;6PM;Restaurantless_20;1d;Female;26;Unmarried_partner;0;Bachelors_degree;EducationandTrainingandLibrary;50000_62499;;1_3;1_3;1_3;1_3;1_3;1;0;0;0;1;1
No_Urgent_Place;Partner;Sunny;80;6PM;Bar;2h;Female;26;Unmarried_partner;0;Bachelors_degree;EducationandTrainingandLibrary;50000_62499;;1_3;1_3;1_3;1_3;1_3;1;1;0;0;1;1
Home;Alone;Sunny;80;6PM;Coffee_House;1d;Female;26;Unmarried_partner;0;Bachelors_degree;EducationandTrainingandLibrary;50000_62499;;1_3;1_3;1_3;1_3;1_3;1;0;0;1;0;1
Home;Alone;Sunny;80;6PM;Coffee_House;1d;Female;26;Unmarried_partner;0;Bachelors_degree;EducationandTrainingandLibrary;50000_62499;;1_3;1_3;1_3;1_3;1_3;1;0;0;0;1;0
Home;Alone;Sunny;80;6PM;Restaurantless_20;2h;Female;26;Unmarried_partner;0;Bachelors_degree;EducationandTrainingandLibrary;50000_62499;;1_3;1_3;1_3;1_3;1_3;1;0;0;1;0;1
Home;Alone;Sunny;80;6PM;Coffee_House;2h;Female;26;Unmarried_partner;0;Bachelors_degree;EducationandTrainingandLibrary;50000_62499;;1_3;1_3;1_3;1_3;1_3;1;1;1;0;1;0
